,A,B,C,D,E,F,G,H,I,J
46,112.54,187.59,84.35,29.23,75.66,17.63,35.3,56.43,18.8,150.62
47,111.32,189.07,85.51,29.45,75.84,17.44,35.43,58.02,18.93,148.36
48,112.44,188.86,85.28,29.44,75.81,17.62,35.42,58.66,19.0,146.96
49,114.42,195.09,86.28,30.59,76.86,17.99,36.4,60.94,19.25,146.58
50,115.28,191.98,86.35,30.86,77.29,18.22,37.05,62.37,18.96,147.51
51,115.77,192.35,86.58,30.18,77.75,18.19,37.02,63.99,18.88,146.54
52,115.57,192.33,84.62,30.64,79.57,18.58,37.42,64.96,18.51,150.89
53,116.15,189.64,83.21,30.6,77.45,18.51,38.18,67.53,18.46,143.42
54,115.5,191.08,84.05,30.63,77.17,18.76,37.97,69.12,18.39,143.81
55,113.01,192.67,84.62,30.32,76.72,18.24,36.42,63.96,18.39,145.22
56,114.67,193.09,84.98,31.54,78.47,19.11,37.41,64.39,18.66,149.44
57,114.09,192.56,86.84,31.41,79.31,19.46,36.87,65.55,18.43,150.61
58,118.92,196.36,87.97,32.83,79.26,20.48,38.71,65.57,18.59,148.4
59,121.61,199.78,86.43,32.72,79.2,20.9,38.97,64.92,18.91,145.39
60,122.2,199.87,85.26,32.9,78.67,21.15,39.31,67.35,18.83,145.84
61,123.09,198.16,85.24,34.02,79.65,21.66,40.44,70.01,19.13,151.69
62,121.64,196.84,84.65,34.55,78.99,21.49,40.58,71.63,19.03,147.88
63,120.19,198.63,84.59,34.12,78.82,20.93,39.76,72.7,19.42,146.06
64,120.89,189.02,82.39,34.54,77.57,22.38,41.46,75.08,18.66,140.96
65,119.89,188.77,81.24,33.93,77.52,22.28,41.29,75.97,18.41,135.7
66,120.45,187.03,80.21,34.35,74.95,22.2,41.45,77.19,18.19,136.63
67,125.1,184.97,80.23,34.69,75.52,22.86,42.15,80.33,17.99,135.44
68,123.68,186.92,78.4,35.07,74.75,22.62,41.8,83.22,17.88,134.58
69,120.89,190.43,79.65,34.13,72.26,21.37,40.21,84.15,18.1,127.91
70,119.66,190.97,79.47,34.49,72.73,21.47,40.35,86.05,17.56,127.43
71,119.12,193.33,80.11,34.94,72.63,21.55,40.36,87.69,18.09,128.64
72,121.02,190.37,79.56,35.14,72.46,22.29,41.15,88.74,17.69,129.61
73,122.44,190.93,78.68,35.61,72.17,22.65,41.51,82.9,17.9,127.93
74,122.01,190.41,78.38,36.02,70.54,22.63,41.45,80.91,17.81,127.52
75,123.16,196.84,79.75,35.69,70.93,22.14,40.59,81.88,17.96,123.01
76,120.56,197.89,79.25,34.38,68.68,21.38,39.49,81.48,17.27,122.35
77,122.62,201.8,78.22,34.25,68.42,21.47,39.68,79.5,17.48,118.29
78,125.02,202.62,77.5,34.74,67.48,22.21,41.22,80.46,17.75,117.9
79,122.57,201.14,76.67,34.07,68.81,22.0,41.1,80.19,17.59,116.93
80,122.64,200.92,77.06,34.35,68.02,21.98,41.72,82.48,17.59,117.67
81,121.03,197.29,75.27,33.93,67.97,21.69,40.47,84.31,17.08,117.04
82,121.7,198.32,74.71,33.56,66.93,21.77,40.32,87.48,16.86,115.71
83,123.61,194.83,74.93,34.3,69.17,22.45,40.86,88.96,16.44,121.21
84,124.85,196.51,75.47,34.9,68.37,22.46,41.53,85.05,16.5,120.38
85,127.58,198.18,76.04,35.54,68.39,23.12,42.17,82.03,16.66,122.45
86,126.73,196.06,75.86,34.99,67.09,23.02,41.51,82.82,16.43,119.27
87,128.36,196.6,76.33,35.33,67.18,23.22,42.25,84.17,16.62,120.68
88,126.68,194.5,76.77,35.42,67.42,23.49,41.98,75.5,16.09,121.01
89,126.11,193.66,77.32,35.25,66.73,23.18,42.09,77.0,16.06,118.75
90,126.42,193.76,76.74,35.73,65.71,23.28,42.11,75.62,16.33,117.94
91,127.16,195.25,75.65,35.92,65.11,23.15,42.45,72.51,16.57,119.04
92,126.83,194.98,77.09,36.05,66.41,22.82,42.91,73.41,16.56,120.03
93,127.39,195.92,77.74,35.25,67.29,23.09,42.79,71.91,16.63,119.6
94,127.19,198.82,77.19,35.14,64.16,22.88,42.72,72.49,16.9,117.28
95,126.63,195.34,77.47,34.98,67.25,22.87,42.84,70.89,16.52,121.91
96,126.11,195.45,76.0,35.19,67.74,23.71,44.24,69.37,16.66,121.95
97,128.11,196.77,76.44,35.54,69.28,24.27,45.25,71.7,16.9,124.67
98,128.39,198.5,75.4,36.04,67.74,24.4,45.8,71.1,16.85,122.42
99,127.74,190.59,73.67,36.01,69.25,25.43,47.22,73.19,16.48,124.46
100,128.24,194.76,72.96,35.13,66.54,25.16,47.2,74.52,17.08,117.9
101,127.46,202.68,74.31,34.51,66.41,24.09,46.36,73.69,17.57,116.95
102,127.79,204.35,74.05,33.68,64.84,23.25,45.71,75.53,17.97,114.57
103,128.8,202.93,74.14,33.71,65.84,23.31,45.33,71.01,18.1,114.72
104,130.3,200.1,73.5,34.0,65.44,22.9,45.3,70.55,17.52,112.25
105,126.44,200.02,72.06,33.43,65.38,22.75,44.05,73.36,17.43,112.74
106,127.91,200.81,72.24,33.48,65.62,23.01,44.38,69.38,17.89,111.68
107,125.56,199.65,73.54,33.11,66.66,22.11,42.97,71.99,18.06,110.19
108,130.14,205.83,74.34,34.12,67.97,22.88,44.55,74.5,18.3,112.62
109,130.75,205.57,73.07,33.71,66.74,22.21,43.73,73.36,18.06,111.39
110,134.04,203.53,74.36,34.92,66.57,23.14,45.09,73.57,17.88,112.33
111,132.87,207.04,73.84,35.1,66.77,23.18,44.78,75.95,17.78,111.27
112,134.6,205.14,72.97,35.89,66.0,23.93,44.99,73.42,17.91,106.41
113,133.06,205.42,73.4,36.39,65.25,23.7,45.23,71.53,17.58,106.14
114,128.6,203.93,74.11,35.25,62.63,23.04,44.02,69.82,17.63,102.33
115,129.2,205.95,74.89,35.32,63.5,23.46,44.48,71.72,17.46,105.61
116,129.07,202.95,76.68,35.56,64.15,23.58,44.63,69.3,17.45,105.67
117,129.98,204.06,77.15,35.45,63.87,23.59,44.95,67.79,17.82,106.74
118,129.23,199.68,76.73,35.64,64.03,23.89,44.93,66.1,17.74,107.25
119,131.34,201.78,75.49,36.4,63.43,24.82,46.2,67.15,18.05,107.42
120,132.03,200.48,74.77,36.59,62.5,24.94,46.59,68.76,18.1,105.91
121,133.57,201.99,75.66,36.97,62.54,25.15,47.6,64.1,18.79,104.78
122,130.7,198.52,74.12,35.67,60.24,24.29,46.59,65.66,18.53,96.91
123,131.97,201.43,74.85,35.7,57.36,23.83,46.54,65.32,18.76,93.44
124,134.88,206.4,75.82,36.73,58.87,24.83,48.58,64.53,18.85,94.15
125,137.06,203.49,76.72,37.08,59.83,25.57,48.87,63.61,18.56,95.07
126,134.26,197.34,77.33,37.29,59.54,25.01,47.85,65.91,18.79,95.85
127,134.33,196.89,74.36,37.23,55.03,24.72,46.96,62.58,18.79,86.2
128,135.06,197.91,74.75,37.34,53.96,24.72,47.64,58.17,18.76,82.49
129,133.96,197.06,75.19,37.91,53.69,24.8,47.45,59.7,18.99,83.62
130,133.61,192.54,74.09,37.34,53.31,25.17,47.29,58.49,18.99,85.5
131,134.08,192.61,74.59,37.2,53.51,25.33,47.69,54.57,18.92,86.92
132,133.37,192.57,74.68,36.98,53.21,24.7,47.06,54.6,19.03,86.45
133,132.61,191.44,77.16,36.03,54.31,24.3,46.62,53.37,19.34,87.53
134,133.36,190.26,77.2,35.69,53.07,24.32,46.48,53.95,19.22,88.56
135,130.08,190.92,77.06,35.18,53.85,23.85,45.36,54.55,19.14,92.13
136,129.4,190.38,78.82,35.17,53.26,23.68,45.2,55.34,18.95,94.32
137,131.89,192.33,78.04,36.35,53.02,24.44,46.3,57.04,18.52,94.51
138,132.17,191.15,77.75,36.29,51.98,24.47,46.7,58.3,18.19,91.72
139,134.27,195.11,76.9,36.77,52.04,24.2,46.59,58.79,18.22,89.63
140,131.8,193.08,78.25,36.54,51.82,23.25,46.18,60.4,18.31,88.02
141,129.91,194.01,79.11,36.53,51.46,23.06,46.24,62.47,18.43,87.9
142,128.29,194.35,80.3,36.19,53.49,22.94,45.87,59.8,18.32,87.61
143,126.73,193.15,81.07,35.7,54.41,22.4,45.46,59.1,17.93,89.29
144,127.87,194.98,80.54,35.37,54.31,22.44,45.76,60.92,18.34,88.61
145,126.27,190.61,78.71,34.67,52.54,21.95,45.48,61.74,18.26,86.9
146,126.76,192.7,78.83,34.92,53.21,22.25,45.92,61.96,17.91,86.52
147,128.28,194.44,76.62,34.7,52.73,22.06,45.36,63.5,17.81,83.23
148,127.35,193.63,77.04,34.62,53.46,22.22,45.73,62.35,18.11,84.73
149,128.5,196.55,77.5,34.85,52.42,22.29,45.83,62.6,18.17,82.82
150,128.45,194.85,77.85,35.36,52.91,22.69,46.56,64.51,18.12,82.84
151,128.12,196.04,77.26,35.4,52.24,22.71,46.75,66.56,18.03,81.9
152,120.8,191.81,77.89,33.34,52.98,21.25,44.22,66.72,17.78,83.42
153,122.35,189.58,77.38,33.49,55.01,21.69,44.66,69.39,17.7,84.98
154,121.01,189.45,77.06,33.22,55.6,21.93,44.63,71.1,17.31,86.51
155,117.48,188.03,77.82,33.39,54.66,21.59,44.45,73.9,17.19,84.35
156,119.66,194.06,81.0,34.45,55.14,21.86,44.98,74.16,17.56,84.71
157,120.09,196.53,82.09,34.33,55.89,21.75,45.01,71.87,18.02,84.36
158,118.91,197.4,82.12,33.19,54.47,20.83,43.71,72.95,17.79,82.48
159,121.26,196.89,83.69,33.4,54.41,21.09,44.31,73.4,17.7,82.03
160,115.1,197.59,83.94,32.17,55.16,19.79,42.54,76.02,17.3,82.75
161,115.54,199.79,83.29,32.44,53.46,20.01,43.45,73.97,17.13,81.89
162,122.08,203.22,83.21,32.78,53.17,20.35,44.47,72.53,17.99,83.65
163,122.73,204.76,84.36,32.3,52.93,19.15,43.82,73.13,18.48,83.95
164,124.12,208.75,84.9,32.69,54.29,19.37,44.24,75.66,18.72,87.63
165,118.77,205.56,84.08,31.22,54.68,17.78,41.39,74.68,18.51,87.34
166,117.6,206.2,85.2,30.76,54.54,17.86,41.41,72.28,18.55,87.86
167,117.63,198.26,84.22,30.94,56.11,18.07,41.73,72.49,18.22,90.96
168,119.59,198.79,85.1,31.24,55.44,18.24,42.48,70.25,18.24,89.77
169,120.15,196.21,85.5,31.69,56.2,18.47,42.5,71.97,18.26,89.57
170,115.32,192.69,85.21,30.06,56.99,17.03,39.69,67.93,17.85,89.37
171,114.7,195.74,83.62,30.51,55.84,17.0,39.32,65.05,18.35,86.97
172,114.99,195.05,83.77,31.0,55.82,16.79,39.51,66.8,18.39,85.48
173,116.13,194.68,84.48,31.66,55.71,17.24,40.12,63.37,18.17,86.67
174,115.97,192.37,83.87,32.06,55.53,17.41,40.4,63.75,18.03,87.12
175,108.71,190.06,83.39,30.39,53.05,16.22,37.77,65.34,17.68,82.89
176,108.13,192.48,83.43,30.28,53.63,15.99,37.61,64.39,17.63,85.21
177,108.12,187.82,81.34,30.57,52.38,16.61,38.55,63.8,17.36,84.18
178,111.54,193.82,83.17,31.62,53.59,17.39,40.44,60.51,17.33,84.92
179,112.02,194.54,81.21,31.88,53.83,17.71,41.15,56.81,17.51,86.48
180,111.44,194.26,81.82,31.92,53.88,17.64,40.81,57.71,17.27,85.16
181,111.74,198.18,83.56,31.82,53.14,17.54,40.54,59.27,17.57,85.49
182,111.04,198.13,82.2,31.55,52.6,17.64,40.78,57.18,17.88,85.2
183,111.91,199.38,82.3,31.78,52.5,18.05,41.11,56.97,18.21,87.82
184,111.38,197.14,82.71,32.03,52.81,17.98,41.75,56.94,18.34,90.97
185,110.8,197.69,83.89,32.01,53.56,17.66,41.4,58.61,18.19,90.48
186,112.65,196.51,84.55,32.36,53.09,17.53,41.11,56.02,18.19,92.13
187,112.11,198.58,85.28,31.85,54.16,17.34,41.58,57.38,18.43,93.76
188,112.05,197.89,85.06,32.42,54.68,17.5,42.4,58.74,18.52,94.26
189,108.95,197.61,84.84,32.02,54.59,16.96,41.27,58.88,18.66,93.73
190,110.9,199.29,85.54,32.86,55.16,17.57,42.96,59.0,18.99,94.63
191,110.85,200.3,84.51,33.48,55.57,17.1,42.36,52.87,18.82,94.11
192,111.55,202.83,85.21,34.21,55.59,17.01,42.94,54.81,18.87,96.64
193,112.76,203.26,84.37,35.0,56.95,17.63,44.13,56.54,18.69,102.22
194,106.26,198.59,85.59,32.82,57.47,16.12,40.99,58.3,18.07,105.59
195,106.72,204.19,85.51,32.39,56.51,15.93,40.82,57.99,18.66,104.06
196,106.15,202.04,86.16,32.02,58.73,15.62,40.66,58.51,19.04,106.43
197,106.76,203.95,83.97,31.5,57.72,14.96,40.14,54.8,19.04,105.95
198,105.45,210.22,84.51,31.33,56.88,14.95,39.88,53.27,18.89,102.9
199,105.42,210.69,84.88,31.33,56.74,14.88,40.1,54.23,19.08,100.22
200,104.1,204.7,82.54,30.57,56.76,14.53,39.15,52.71,18.86,101.52
201,104.46,206.01,81.69,30.62,55.89,14.47,38.96,53.77,19.26,98.77
202,101.87,200.82,83.28,30.54,55.39,14.21,38.3,53.56,18.64,100.55
203,102.97,201.53,83.38,30.9,55.47,14.11,37.93,49.98,18.96,97.99
204,109.31,211.37,84.18,33.49,56.88,15.43,40.91,51.9,19.12,98.24
205,111.46,212.85,84.17,33.91,57.08,15.79,41.49,49.5,19.39,95.13
206,112.43,214.72,83.18,34.08,57.43,16.09,43.01,49.83,19.69,95.01
207,112.91,207.85,84.42,34.24,58.67,16.47,42.98,50.75,19.34,98.23
208,111.82,203.56,84.6,33.41,59.57,16.24,42.86,50.26,19.56,99.66
209,115.35,205.67,84.33,34.37,59.68,16.84,43.93,50.45,19.55,100.6
210,113.24,209.21,84.66,34.4,58.1,16.63,43.57,51.64,19.54,98.7
211,113.82,207.98,85.14,34.35,58.19,16.66,42.92,53.87,19.58,99.09
212,117.24,207.72,84.52,35.24,57.55,16.78,43.42,51.87,19.64,100.44
213,115.83,206.14,83.23,34.74,59.18,16.46,43.17,53.48,19.59,100.15
214,115.02,205.39,86.25,34.67,59.71,16.19,43.02,54.52,19.41,101.41
215,114.47,198.52,84.09,35.07,60.75,17.03,43.81,55.73,18.75,102.97
216,117.41,199.88,84.15,35.37,61.23,17.47,44.33,52.13,18.76,102.6
217,115.21,197.45,83.11,33.89,60.8,16.78,43.25,50.99,18.45,104.44
218,119.71,199.3,82.72,35.38,60.46,17.53,45.26,51.35,18.53,106.63
219,120.97,194.57,80.83,36.35,60.18,18.76,46.59,53.14,18.07,109.33
220,124.12,199.74,79.38,36.85,61.0,19.13,47.53,54.76,18.1,112.49
221,123.34,201.91,80.43,35.86,61.08,18.44,46.24,54.81,18.73,111.29
222,124.71,201.93,80.8,35.95,59.8,18.25,46.46,56.65,18.96,109.1
223,125.21,205.43,81.37,35.68,59.23,18.19,46.54,57.99,18.86,108.83
224,123.83,200.08,79.95,36.05,60.64,18.06,46.39,59.51,18.49,112.23
225,120.65,199.33,81.3,35.84,61.02,17.76,45.39,57.87,18.66,114.81
226,119.48,202.08,81.64,35.59,62.84,17.41,44.81,56.42,18.61,116.09
227,118.11,198.25,80.79,35.63,62.94,17.44,45.01,58.62,18.07,116.29
228,112.99,193.4,81.68,34.16,63.68,16.57,42.41,58.19,17.69,118.3
229,114.64,190.78,81.1,34.39,63.09,16.59,42.69,55.93,18.08,117.36
230,108.69,188.24,81.94,32.48,61.2,15.36,39.86,55.39,17.75,114.13
231,110.59,185.92,81.59,33.04,61.64,15.73,40.31,55.53,17.99,117.88
232,109.31,182.54,81.68,32.26,60.22,15.5,39.49,57.7,18.03,117.23
233,110.51,182.81,81.94,32.99,61.11,15.67,40.09,59.72,17.98,120.02
234,110.5,185.06,82.51,33.54,61.32,15.75,40.51,57.17,17.66,120.94
235,110.7,186.94,81.27,33.43,60.43,15.82,40.79,56.57,17.81,119.72
236,109.02,186.49,81.07,33.69,59.19,16.08,41.25,58.41,18.17,114.44
237,110.76,184.09,80.92,33.93,57.65,16.6,42.13,57.43,18.19,114.43
238,111.21,179.82,80.45,33.34,57.9,16.56,41.96,56.99,18.51,113.09
239,114.34,184.08,80.71,33.71,58.6,16.94,43.36,55.69,18.94,114.34
240,116.73,184.06,77.17,34.23,58.14,17.41,44.55,57.82,19.18,113.66
241,115.51,186.03,76.11,33.7,57.93,17.43,45.07,59.04,19.01,115.7
242,115.53,188.58,76.76,33.46,59.02,17.33,45.33,57.92,19.06,113.84
243,117.36,190.71,76.27,33.61,58.8,17.74,45.1,57.61,19.34,111.58
244,118.57,195.85,77.62,34.24,58.71,17.87,45.11,56.04,19.59,109.01
245,118.42,190.72,78.37,34.35,60.43,18.12,45.69,55.79,19.85,115.97
246,113.02,187.31,77.99,33.66,60.66,17.03,43.31,56.86,19.64,113.84
247,113.61,185.96,77.28,33.77,61.52,17.41,43.62,57.43,19.85,111.44
248,115.28,184.22,77.53,34.09,63.59,17.93,43.85,53.73,19.76,112.28
249,115.51,183.22,78.97,33.96,62.31,17.83,43.48,50.46,20.06,111.68
250,113.89,183.6,78.71,32.93,63.35,17.23,42.35,46.87,19.96,115.1
251,115.42,187.44,79.16,32.98,63.28,17.26,42.87,48.06,20.2,114.77
252,116.17,188.99,78.69,33.22,64.72,17.4,43.34,46.29,19.95,115.44
253,115.4,188.7,78.35,33.36,64.31,17.1,43.43,44.97,19.82,114.66
254,114.86,189.6,79.3,33.46,64.22,16.57,43.19,46.68,19.94,113.74
255,114.95,190.46,78.14,33.75,64.33,16.77,43.67,47.32,20.05,114.18
256,116.52,189.55,79.53,34.24,64.37,16.89,44.06,48.29,19.96,108.01
257,117.67,186.61,79.49,33.98,64.6,16.66,43.67,48.77,19.62,109.16
258,120.43,188.86,78.9,34.7,64.47,17.24,44.7,49.46,19.53,111.21
259,119.09,188.21,78.61,35.09,62.91,17.09,44.59,49.1,19.61,108.09
260,117.55,190.23,78.29,34.57,63.6,16.69,43.3,49.57,19.63,108.13
261,116.34,187.95,77.17,34.61,62.13,16.81,43.8,48.46,19.57,102.56
262,118.71,189.67,76.97,35.77,62.37,17.16,45.04,48.94,19.86,102.64
263,120.22,197.52,79.13,36.62,64.12,17.07,45.77,50.44,20.05,103.24
264,120.81,201.48,79.35,37.73,65.31,17.58,46.98,48.95,20.17,104.68
265,125.81,205.14,79.38,38.48,64.87,18.12,48.66,47.3,20.0,105.44
266,128.29,201.32,79.49,38.28,65.17,17.92,48.08,46.34,19.89,105.88
267,128.53,202.8,80.49,38.04,64.51,18.13,47.59,47.9,20.01,104.13
268,132.12,206.34,78.82,39.97,64.2,18.82,50.29,44.62,20.59,102.79
269,131.47,203.52,77.85,40.06,62.91,18.51,49.77,45.67,19.78,105.91
270,132.0,206.53,78.84,41.27,62.35,18.72,50.47,44.36,19.8,103.31
271,134.54,210.88,78.85,42.1,62.11,19.44,51.89,43.24,20.31,104.35
272,137.03,210.02,78.03,42.53,61.6,20.06,52.36,44.75,20.75,104.25
273,137.95,204.45,77.13,42.6,62.01,20.88,53.18,45.71,20.55,104.6
274,139.19,201.05,77.65,43.38,61.54,21.34,54.2,46.25,20.4,102.01
275,139.12,203.62,76.83,43.86,61.38,21.72,54.77,43.53,20.6,100.92
276,138.16,199.46,75.15,43.97,61.01,21.43,53.65,44.86,20.34,100.32
277,138.25,202.33,74.43,44.22,63.32,21.45,53.49,39.73,20.35,104.49
278,140.6,201.19,75.05,45.13,63.7,21.56,54.21,39.28,20.36,104.14
279,141.8,200.16,74.11,45.24,64.8,21.55,53.94,38.68,20.4,102.61
280,135.68,197.52,74.7,43.97,64.73,20.36,51.44,37.86,20.8,102.33
281,139.42,200.73,74.93,44.72,63.48,21.13,52.47,38.39,20.79,103.57
282,136.84,195.58,74.33,44.07,64.42,20.86,51.19,38.09,20.41,107.06
283,135.38,193.83,73.59,43.93,63.27,20.86,51.38,37.24,19.88,105.45
284,133.98,197.25,74.62,44.06,63.04,20.56,51.73,38.12,20.19,106.83
285,133.95,197.47,73.63,43.84,64.82,20.18,51.41,38.87,20.3,112.26
286,134.32,198.73,73.34,43.96,65.51,20.42,51.67,37.89,20.54,110.23
287,132.75,196.94,72.42,44.26,65.19,20.97,51.81,35.67,20.34,107.99
288,131.37,196.66,72.51,43.68,64.2,20.59,51.59,37.1,20.49,105.6
289,131.37,195.89,71.16,44.23,63.28,20.84,52.04,37.23,20.37,103.86
290,132.6,195.1,68.67,44.29,63.35,20.95,52.69,38.23,20.56,102.17
291,131.54,193.45,68.17,42.72,64.13,19.83,50.52,39.34,20.73,105.97
292,128.27,195.81,67.93,42.79,64.85,19.61,49.81,38.48,20.32,108.18
293,127.99,197.45,68.28,42.16,64.67,19.47,49.58,37.71,20.05,107.14
294,127.74,193.11,68.3,42.18,63.97,20.02,50.34,37.52,19.74,107.91
295,127.15,195.79,67.61,42.05,60.39,19.47,50.03,37.97,20.01,104.0
296,127.38,195.82,67.34,42.51,60.85,19.9,50.5,39.02,20.11,103.69
297,127.84,198.51,67.91,42.71,59.94,19.46,50.43,37.52,20.58,102.84
298,126.91,200.7,67.12,42.94,59.29,19.12,50.06,37.26,20.48,100.95
299,125.56,201.4,67.87,42.62,61.96,18.67,49.98,38.12,21.42,106.97
300,124.06,202.08,67.89,42.54,61.85,18.4,49.67,38.02,21.42,107.47
301,123.71,202.48,68.33,42.82,61.51,17.77,49.26,38.69,21.03,106.5
302,120.43,201.6,69.76,41.51,61.48,17.02,47.71,38.51,21.29,106.58
303,115.48,203.31,69.05,39.94,60.9,15.96,45.37,37.67,21.32,107.33
304,115.83,203.44,69.67,39.71,59.89,15.59,45.38,37.07,21.17,107.75
305,117.3,206.11,70.3,40.0,57.86,15.51,44.92,37.87,21.55,106.91
306,117.02,207.97,69.9,40.05,57.55,15.77,45.31,37.73,22.07,107.5
307,120.54,215.61,70.7,40.71,57.86,15.99,47.09,37.52,22.38,107.44
308,120.36,208.64,70.55,40.84,58.39,16.25,47.67,37.11,22.16,109.75
309,116.33,209.87,71.55,39.31,59.51,15.42,45.23,36.06,22.61,112.08
310,117.19,207.48,70.55,39.0,59.12,15.53,45.03,36.83,22.67,109.42
311,117.81,207.18,69.69,39.47,59.08,15.54,45.51,37.26,22.41,110.04
312,117.8,207.33,68.7,39.47,58.51,15.26,45.79,37.01,22.32,108.25
313,118.01,204.29,67.98,39.76,58.81,15.55,46.16,34.13,21.77,109.83
314,118.13,203.97,68.82,39.87,56.94,15.38,46.23,34.2,21.93,107.01
315,122.53,207.04,69.99,41.68,57.02,16.22,48.06,34.61,21.97,104.76
316,123.04,205.25,69.43,43.15,56.86,16.84,48.96,34.55,22.05,104.55
317,121.7,205.65,69.42,43.06,55.48,16.8,49.03,35.19,21.79,101.71
318,120.66,208.44,68.18,43.09,54.48,16.98,48.98,35.45,22.12,99.02
319,116.48,205.66,68.15,41.32,55.44,16.49,47.52,36.82,22.21,102.22
320,111.67,206.41,68.76,40.34,57.37,15.66,45.59,36.68,21.54,102.87
321,112.76,206.03,68.46,40.18,57.16,15.47,45.71,35.63,22.04,102.08
322,110.2,203.67,69.7,39.2,57.15,14.95,44.59,35.26,21.6,103.55
323,105.22,200.99,69.28,38.11,58.06,14.49,43.27,35.73,21.54,105.02
324,104.77,201.15,70.47,38.52,58.57,14.64,43.27,35.5,21.29,105.32
325,104.8,206.67,71.43,38.4,57.46,14.79,42.78,35.11,21.3,103.6
326,103.35,207.35,71.92,38.23,56.05,14.62,42.76,35.4,21.2,102.19
327,107.45,206.78,72.0,39.93,56.85,15.18,44.57,36.69,21.25,100.78
328,110.17,207.99,71.92,41.29,56.16,15.66,45.8,34.54,21.68,99.14
329,104.73,200.31,71.27,39.83,57.44,15.23,44.35,33.32,21.17,101.56
330,105.11,204.4,72.65,39.82,57.07,15.34,44.05,34.18,21.38,102.62
331,105.31,208.79,73.25,39.99,56.94,15.14,43.96,33.35,21.55,100.32
332,105.65,211.01,73.8,39.96,56.73,15.06,43.89,33.86,21.87,98.77
